state_name,city_name,year,month,day_of_week,time_of_day,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,accident_location_details,latitude,longitude,cluster,cluster_size
Jammu and Kashmir,Unknown,2021,May,Monday,1:46,Serious,5,Cycle,0,4,Hazy,National Highway,Wet,Dark,Signs,61,66,Male,,Yes,Curve,20.35374817229777,78.74157521771598,0,2907
Uttar Pradesh,Lucknow,2018,January,Wednesday,21:30,Minor,5,Truck,5,4,Hazy,Urban Road,Dry,Dusk,Signs,92,60,Male,,Yes,Straight Road,26.718703046852195,80.82543253241894,0,2907
Chhattisgarh,Unknown,2023,May,Wednesday,5:37,Minor,5,Pedestrian,6,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,26,Female,,No,Bridge,20.68354604735384,78.78266312892174,0,2907
Uttar Pradesh,Lucknow,2020,June,Saturday,0:31,Minor,3,Bus,10,5,Rainy,State Highway,Dry,Dark,Signals,76,34,Female,Valid,Yes,Straight Road,26.963422533955544,80.71943647654523,0,2907
Sikkim,Unknown,2021,August,Thursday,11:21,Minor,5,Cycle,7,1,Foggy,Urban Road,Wet,Dusk,Signs,115,30,Male,,No,Intersection,20.799353428227445,79.04243189537802,0,2907
Meghalaya,Unknown,2020,November,Tuesday,8:4,Serious,1,Truck,6,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,44,Male,Expired,Yes,Bridge,20.510898398364034,78.97315329546363,0,2907
Sikkim,Unknown,2021,October,Monday,18:55,Fatal,2,Two-Wheeler,9,5,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111,48,Female,,No,Straight Road,20.639043879196425,78.7500276723203,0,2907
Himachal Pradesh,Unknown,2022,December,Wednesday,11:40,Minor,3,Truck,1,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,42,Female,Valid,No,Curve,20.59394265564556,78.80732574474412,0,2907
Rajasthan,Jodhpur,2021,July,Saturday,8:26,Fatal,3,Truck,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,53,Male,Valid,No,Straight Road,27.029954426629644,74.21568365485564,1,93
Rajasthan,Jodhpur,2018,August,Saturday,2:1,Fatal,2,Car,3,2,Foggy,State Highway,Under Construction,Dark,Signs,110,50,Female,,Yes,Straight Road,26.77308129474199,74.24405724562754,1,93
Himachal Pradesh,Unknown,2020,April,Thursday,22:25,Minor,5,Pedestrian,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,,No,Straight Road,20.315494749775205,78.96956422536891,0,2907
Uttar Pradesh,Kanpur,2018,August,Tuesday,16:49,Fatal,3,Bus,1,4,Clear,National Highway,Wet,Dusk,,46,41,Male,Valid,No,Curve,26.962776645394687,81.14854648965897,0,2907
Assam,Unknown,2021,September,Saturday,23:22,Serious,1,Cycle,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,,No,Straight Road,20.828476102456083,79.20802479896405,0,2907
Bihar,Unknown,2020,June,Wednesday,6:47,Serious,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,25.391848930501542,85.15938255724447,0,2907
Telangana,Unknown,2021,August,Friday,18:57,Serious,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,20.878015408113477,79.18631092973858,0,2907
Arunachal Pradesh,Unknown,2018,August,Friday,12:6,Minor,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,,No,Curve,20.524635875498706,79.04055469224139,0,2907
Andhra Pradesh,Tirupati,2019,October,Sunday,12:47,Minor,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,15.66188212014492,79.60447235177891,0,2907
Karnataka,Bangalore,2023,October,Thursday,18:59,Fatal,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,15.024360868695618,75.49956849217288,0,2907
Sikkim,Unknown,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,20.54880387618011,78.67234245484124,0,2907
Chhattisgarh,Unknown,2022,April,Saturday,6:39,Fatal,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,20.646543481182068,79.0261785549009,0,2907
Madhya Pradesh,Unknown,2018,June,Tuesday,8:10,Serious,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,23.240998110963705,78.81068472565597,0,2907
Puducherry,Unknown,2022,February,Wednesday,1:35,Serious,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,20.67777768439606,79.24393752447425,0,2907
Uttar Pradesh,Varanasi,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,26.962028765395512,80.88006134208197,0,2907
Maharashtra,Nagpur,2022,December,Tuesday,13:34,Serious,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,,106,48,Male,,No,Intersection,19.7199347208502,75.89545271813607,0,2907
Jammu and Kashmir,Unknown,2022,February,Monday,3:29,Serious,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,,No,Straight Road,20.67299462895908,79.04312372705444,0,2907
